id,taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
03,calibration,A,0.8501025587065001,0.5134667565463807,0.8330002720647403
04,calibration,A,1.10461645754295,0.5521810155678849,1.089578788909997
32,calibration,A,1.181530573248304,0.7646908517913371,1.1644373826199108
34,calibration,A,2.415887704368891,1.618575717555713,2.3839273973340123
05,calibration,A,1.1831973056717486,0.6552528086610442,1.16323662109752
02,calibration,A,0.8643253578438729,0.638658278121634,0.8513675613135934
18,calibration,A,0.9761744766170881,0.44520510361698407,0.9494402671252571
27,calibration,A,4.905691842306408,3.1551181660360683,4.799459349205915
29,calibration,A,1.2959616149482376,1.0549923717612169,1.2716884496370322
10,calibration,A,1.768361590778917,1.6899824335496434,1.7475614826363517
19,calibration,A,1.0334634114656995,0.9891307019483649,1.0161269732728715
43,calibration,A,0.8120244398518048,0.398091572586495,0.7972297026486268
07,calibration,A,1.0634781510010096,1.0278866800274717,1.042193588518119
36,calibration,A,1.0800044098269335,0.6630723826033236,1.063687798214623
09,calibration,A,0.7949045971880194,0.8543053547046898,0.7861780021918898
53,calibration,A,1.1601757048729615,0.3941247690426144,1.1451004801005875
37,calibration,A,1.1020762276501779,0.9992991380867535,1.081826889418595
08,calibration,A,0.7523381606537844,0.6789646970239303,0.7357298087657543
01,calibration,A,3.8324443410430415,4.255549650240302,3.7665548574056316
06,calibration,A,1.1811855696307965,0.5672340465453533,1.159460124958268
39,calibration,A,1.4195647789941748,0.6527184769496409,1.4046902086425073
52,calibration,A,1.478077638443284,0.7409030813149846,1.4583505247688036
46,calibration,A,1.0980143840970606,0.6283539042616669,1.0808492607903455
41,calibration,A,1.6616126647908362,1.4509673369230307,1.635904420005488
49,calibration,A,0.8138533138587136,0.5355045708000218,0.7983235012062361
47,calibration,A,1.0030356011399564,0.6744030004660688,0.9850382144481784
25,calibration,A,1.0912523399594214,0.543133712833593,1.078259137664618
50,calibration,B,0.7071304085312503,0.5028222007365241,0.6884310242126532
35,calibration,B,0.8390343329856621,0.4695742651886543,0.8255006764941145
51,calibration,B,1.7650666665837635,1.854963446958905,1.7110779423294231
