id,taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
03,calibration,A,0.7823517851676843,4.091274507586713,0.7669341070909953
04,calibration,A,1.2108419170955116,5.28527556130851,1.1964737139486439
32,calibration,A,1.1914673725633929,4.39942088387255,1.1769573963620998
34,calibration,A,2.131417826727056,5.115310324819574,2.103405049139752
05,calibration,A,1.1833381772449407,6.373287288624224,1.1628082934352124
02,calibration,A,0.9815685714882275,5.547993437963212,0.9672267775228731
18,calibration,A,1.0911945276602606,4.698932346498406,1.062383698771895
27,calibration,A,5.834301570162047,7.503374745645166,5.72128927529446
29,calibration,A,1.5989473513459835,5.914428450235984,1.5701437115356844
10,calibration,A,1.7034924928436905,6.254172006900818,1.681673377617704
19,calibration,A,1.051567181624997,4.9522926545853725,1.0334935192450814
43,calibration,A,0.8613814365721041,5.2199377794109525,0.847470174718769
07,calibration,A,1.9277344869596809,5.291906285763758,1.8853237982091207
36,calibration,A,1.7619789295934163,6.330440139231346,1.7318597045255915
09,calibration,A,0.7263974602054348,4.823354006913417,0.7143791276160635
53,calibration,A,1.1119663845959564,6.448189430749949,1.1000895927054448
37,calibration,A,1.162127571299192,6.717306138196011,1.1443047938484354
08,calibration,A,0.7685779938915789,5.705499517632681,0.7539826130618963
01,calibration,A,4.6574420115555615,8.334826468419962,4.581310536154271
06,calibration,A,1.2312128526952282,4.794935344559591,1.2090930215222013
39,calibration,A,1.3518756851293812,5.341570324820088,1.338776148902733
52,calibration,A,1.574936658108299,5.53306531947966,1.5490714035109634
46,calibration,A,1.133599545192689,5.334294153151297,1.1150339939275966
41,calibration,A,1.7398040814674778,5.878510496657416,1.711277330907639
49,calibration,A,0.841663653349967,5.457102696010178,0.8269143418409509
47,calibration,A,1.6020892778547149,6.435187287058951,1.5729304178540235
25,calibration,A,2.7145275108397104,7.812017763738781,2.682954026534248
50,calibration,B,0.691850708666932,5.076828382883254,0.6764874241583861
35,calibration,B,0.8337237755149627,6.301207397082062,0.8205137267350773
51,calibration,B,1.5340460100361424,5.531849093804319,1.494739891086945
33,calibration,B,1.2491975271858604,5.138481030524866,1.2229823198258913
20,calibration,B,2.5357262927768263,6.008800788665496,2.480028786000859
11,calibration,B,1.4329804698766995,6.009220035080786,1.4039621549732166
16,calibration,B,0.9387267123799559,4.796058850326791,0.9194285545052785
42,calibration,B,0.6011591865486788,4.210897514547601,0.5882429262899515
45,calibration,B,0.9274857358032137,5.480268311334747,0.9093793791502798
28,calibration,B,1.6595186168867933,5.376145407575431,1.6233984083589876
17,calibration,B,3.178311658693248,8.411156948206251,3.121178273559261
26,calibration,B,1.2977354828419478,5.6417673694627295,1.2768408750736924
21,calibration,B,0.9340825824467006,6.131378695945151,0.9154806505862643
44,calibration,B,0.6003411796825263,5.444895707492348,0.5917712137070932
38,calibration,B,1.6563155906929836,4.49443742987236,1.6327564598043756
31,calibration,B,1.3490145197465053,6.413148196376041,1.3305090649482625
54,calibration,B,0.5736509133314261,4.6964384267164965,0.5615988746766046
30,calibration,B,1.1148515568442672,10.594040112649076,1.0951630682338847
48,calibration,B,1.1239834621419758,5.412497320258049,1.1079858396965205
24,calibration,B,1.0244323032899374,5.82315774815301,1.0049187332488752
23,calibration,B,1.9517634084276918,6.8078834637802546,1.904892614276705
15,calibration,B,1.9808371823907986,5.458110575972592,1.9441717122474267
12,calibration,B,0.8952657282487874,5.098944129583931,0.8771183240497074
40,calibration,B,0.5331830907057405,5.608392770896669,0.525263938568746
13,calibration,B,1.4408875245032544,4.995711381455972,1.4156026577450633
14,calibration,B,0.7656638775145471,5.243330664730712,0.7543273956106139
22,calibration,B,1.3707703274096046,5.624445367462698,1.3422940038420375
03,ssHeadConstrained,A,2.43924546774381,4.600568066628893,2.404300010316258
