id,taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
03,calibration,A,0.7145541577052661,0.3844442104348697,0.7008222532064795
04,calibration,A,1.317067376648077,0.7152633470830393,1.3033686389872876
32,calibration,A,1.2013767411005196,0.843740882074468,1.1894428482996202
34,calibration,A,1.8465542191507651,1.3545274705263337,1.8224944347196086
05,calibration,A,1.183478075275819,0.64262797054624,1.162382925881147
02,calibration,A,1.0989739472538065,0.9694297752258879,1.0832462416107265
18,calibration,A,1.2059754517781873,0.7611406565187697,1.175092320789331
27,calibration,A,6.762911298017677,5.473336448426189,6.643119201383021
29,calibration,A,1.9017236988450503,1.4682366602155736,1.8683927154786266
10,calibration,A,1.6387130550300066,1.2721959450200024,1.6158763411616324
19,calibration,A,1.0696208721987965,1.253033337982501,1.0508120249794655
43,calibration,A,0.9108411177516003,0.3945093112422217,0.897815169268943
07,calibration,A,2.7728383279386475,3.020291318438679,2.709769681923593
36,calibration,A,2.4439534493598933,2.9428540673689616,2.4000316108365602
09,calibration,A,0.6579376347815392,0.678817496746115,0.6426298378983696
53,calibration,A,1.0636569064513366,0.34534430947021266,1.0549851923863565
37,calibration,A,1.2220130272585665,1.0431196935564582,1.2066101073820605
08,calibration,A,0.7847953809189538,0.7053038106038673,0.7722101888793979
01,calibration,A,5.481869144259998,6.860961108601293,5.395502760076644
06,calibration,A,1.2829973664909573,0.5031417756466041,1.2604692958148995
39,calibration,A,1.2840459629532237,0.4745400776152891,1.2727251485956352
52,calibration,A,1.6715951415007169,1.1233283979208044,1.639604454346818
46,calibration,A,1.169457484526681,0.5473201434342818,1.1494807703153742
41,calibration,A,1.8179954981441175,1.624942986915978,1.786650241809785
49,calibration,A,0.8694739928412172,0.5722343521924905,0.8555051824756656
47,calibration,A,2.202388388408803,2.774645533197165,2.1620448503729874
25,calibration,A,4.337802681719992,5.451564990756682,4.287648915403874
50,calibration,B,0.6765710088026115,0.575132470765949,0.6645438241041213
35,calibration,B,0.8284058576042487,0.4259468204462947,0.8155198650567639
51,calibration,B,1.3025453936757443,1.1041179978543683,1.2779523840593359
33,calibration,B,1.125190958887723,0.5700219197436248,1.1018467847035662
20,calibration,B,3.8617519309068045,5.211567995397408,3.7743712064225066
11,calibration,B,1.362503665498065,0.943560966969798,1.3361536277494346
16,calibration,B,1.133782531428973,1.2486757484445188,1.1124614744792234
42,calibration,B,0.4514841869612298,0.4167395319725658,0.4426213756765067
45,calibration,B,1.161867526848767,1.2833536702850064,1.1386101910855169
28,calibration,B,1.6472164867478019,1.6594874516752451,1.616036845413978
17,calibration,B,5.542830530596866,7.2927296705708775,5.444445536925434
26,calibration,B,1.7171774174260226,2.1333507918907118,1.6888282524550022
21,calibration,B,0.8288156801292472,0.6797491282501155,0.8100913536413821
44,calibration,B,0.5494443724137873,0.4641439552420072,0.5397367404482298
38,calibration,B,2.0242025193900886,2.1555887915235497,1.9923313913620366
31,calibration,B,1.0164410802420758,0.5406657914530346,0.9998666287508156
54,calibration,B,0.5678091628672414,0.35307840474019203,0.557747026938298
30,calibration,B,0.9536918171072823,0.8284291478440223,0.9398329708356492
